Title,Key,Date,Genre,vn,vc,pf,va,pf4h,cl/vn,orch,ob,cl,bn,hn,db,pf.1,"flute,","violin,",viola,v,pf/org,fl,sop,vv,ch,eh,fl/vn,ww,br,org,alt,ten,bass
"Lieder: Urians Reise um die Welt (""Wenn jemand eine Reise tut"")",A minor,1785,Vocal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lieder: Feuerfarb (""Ich weiß eine Farbe"")",G major,1785,Vocal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lieder: Das Liedchen von der Ruhe (""Im Arm der Liebe ruht sich's wohl"")",F major,1785,Vocal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lieder: Maigesang (Mailied) (""Wie herrlich leuchtet mir dir Natur"")",Eb­ major,1785,Vocal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lieder: Mollys Abschied (""Lebe wohl, du Mann"")",G major,1785,Vocal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lieder: Die Liebe (""Ohne Liebe lebe wer da kann"")",F major,1785,Vocal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lieder: Marmotte (""Ich komme schon durch manches Land"")",A major,1785,Vocal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lieder: Das Blümchen Wunderhold (""Es blüht ein Blümchen irgendwo"")",G major,1785,Vocal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Piano Sonata No.21 (""Waldstein"")",C major,1803,Keyboard,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piano Sonata No.22,F major,1804,Keyboard,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Symphony No.3 ('Eroica'),Eb­ major,1803,Orchestral,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Triple Concerto,C major,1804,Orchestral,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Piano Sonata No.23 ('Apassionata'),F minor,1804,Keyboard,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piano Concerto No.4,G major,1804,Orchestral,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Piano Concerto No.4,G major,1804,Chamber,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
String Quartet ('Razumovsky Quartets') No.7,F major,1806,Chamber,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
String Quartet ('Razumovsky Quartets') No.8,E minor,1806,Chamber,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
String Quartet ('Razumovsky Quartets') No.9,C major,1806,Chamber,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Symphony No.4,Bb­ major,1806,Orchestral,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Violin Concerto,D major,1806,Orchestral,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Piano Concerto,D major,1807,Orchestral,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Coriolan,C minor,1807,Orchestral,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Piano Trio,Eb­ major,NA,Chamber,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cello Sonata ('Grand Sonata'),Eb­ major,1807,Chamber,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ah! Perfido,NA,1796,Vocal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Variations on 'Ein Mädchen oder Weibchen' (12),F major,1796,Chamber,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Symphony No.5,C minor,1804,Orchestral,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Symphony No.6,F major,1807,Orchestral,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cello Sonata No.3,A major,1807,Chamber,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Piano Trios (2):,NA,1808,Chamber,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Piano Trio ('Ghost'),D major,1808,Chamber,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Piano Trio,Eb­ major,1808,Chamber,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sextet,Eb­ major,1792,Chamber,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fidelio (Leonore, oder Der Triumph der ehelichen Liebe), opera in 3 acts",NA,1804,Stage,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"Fidelio (Leonore, oder Der Triumph der ehelichen Liebe), opera in 2 acts",NA,1805,Stage,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"Fidelio, opera in 2 acts",NA,1814,Stage,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Leonora Overture No.2,C major,1804,Orchestral,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Leonora Overture No.3,C major,1806,Orchestral,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Piano Concerto No.5 ('Emperor'),Eb­ major,1808,Orchestral,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
String Quartet No.10 ('Harp'),Eb­ major,1809,Chamber,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gesänge: Mignon (""Kennst du das Land"")",NA,1809,Vocal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gesänge: Neue Liebe, neues Leben (""Herz, mein Herz, was soll das geben?"")",NA,1809,Vocal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gesänge: Aus Goethes Faust (""Es war einmal ein König"")",NA,1809,Vocal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gesänge: Gretels Warnung (""Mit Liebesblick und Spiel"")",NA,1809,Vocal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gesänge: An den fernen Geliebten (""Einst wohnten süsse Ruh'"")",NA,1809,Vocal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gesänge: Der Zufriedene (""Zwar schuf das Glück hienieden"")",NA,1809,Vocal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Variations (6),D major,1809,Keyboard,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fantasia,G minor,1809,Keyboard,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piano Sonata No.24 ('A Thérèse'),F# major,1809,Keyboard,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piano Sonata No.25 ('Cuckoo'),G major,1809,Keyboard,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fantasia in C minor ('Choral Fantasia'),C minor,1808,Vocal,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Piano Sonata No.26 ('Les adieux'),Eb­ major,1809,Keyboard,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sextet in E-flat major,Eb­ major,1795,Chamber,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arietten und ein Duett: Hoffnung (""Dimmi, ben mio, che m'ami"")",NA,1809,Vocal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arietten und ein Duett: Liebes-Klage (""T'intendo, si, mio cor"")",NA,1809,Vocal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arietten und ein Duett: Che fa il mio bene? (""L'amante impatiente"")",NA,1809,Vocal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arietten und ein Duett: Che fa il mio bene? (""L'amante impatiente"")",NA,1809,Vocal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arietten und ein Duett: Lebensgenuß (""Odi l'aura che dolce sospira"")",NA,1809,Vocal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Gesänge: Wonne der Wehmut (""Trocknet nicht, Tränen der ewigen Liebe!"")",NA,1810,Vocal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gesänge: Sensucht (""Was zieht mir das Herz so?"")",NA,1810,Vocal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gesänge: Mit einem gemalten Band (""Kleine Blumen, kleine Blätter streuen wir mit leichter Hand"")",NA,1810,Vocal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Egmont,NA,1809,Stage,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Christus am Ölberge ('Christ on the Mount of Olives'),NA,1803,Vocal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Mass,C major,1807,Vocal,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Trio,C major,1794,Chamber,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Das Glück der Freundschaft (""Der lebt ein Leben wonniglich"")",NA,1803,Vocal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Polonaise in C major,C major,1814,Keyboard,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piano Sonata No.27,E minor,1814,Keyboard,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wellingtons Sieg (Wellington's Victory or 'Battle Symphony'),NA,1813,Orchestral,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Symphony No.7,A major,1811,Orchestral,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
